date,rainfall_mm,temperature_C,discharge
2010-01-01,0.02254486,17.6203,186.74
2010-01-02,2.6927275e-05,16.891205,201.7
2010-01-03,1.1219697e-06,17.301025,203.13
2010-01-04,6.170834e-05,18.734985,205.31
2010-01-05,1.9073486e-05,18.316193,194.24
2010-01-06,0.0012577282,17.131592,190.66
2010-01-07,1.2341668e-05,17.364716,204.53
2010-01-08,0.007863886,18.989563,188.34
2010-01-09,0.009388643,20.977448,182.56
2010-01-10,0.08511487,21.38797,190.55
2010-01-11,0.013353685,21.371277,378.63
2010-01-12,0.30957726,21.876617,181.8
2010-01-13,6.283546,20.89746,185.98
2010-01-14,2.1846907,20.72226,189.33
2010-01-15,0.23249234,19.388214,181.8
2010-01-16,0.0089555625,18.780212,179.35
2010-01-17,0.004122117,18.450745,150.18
2010-01-18,0.0013127046,18.445496,145.99
2010-01-19,0.0006866455,18.174103,142.87
2010-01-20,0.00024346747,18.125153,233.86
2010-01-21,0.0003556644,18.299225,154.95
2010-01-22,0.00043083643,18.654816,148.52
2010-01-23,0.00029956596,18.983154,141.92
2010-01-24,9.200152e-05,19.375763,155.23
2010-01-25,0.00013575834,19.634918,189.03
2010-01-26,0.0,20.241058,185.34
2010-01-27,3.8146973e-05,20.00476,178.09
2010-01-28,0.00031751744,19.900421,173.62
2010-01-29,0.00031863942,20.05838,170.78
2010-01-30,4.487879e-06,19.976929,169.24
2010-01-31,0.0005340576,20.347412,163.33
2010-02-01,1.1219697e-06,20.77771,157.43
2010-02-02,0.0030876608,21.616333,154.93
2010-02-03,0.016682569,21.606506,159.77
2010-02-04,0.3703813,20.833038,166.82
2010-02-05,0.006167468,21.138184,160.54
2010-02-06,0.00041400688,21.265503,158.81
2010-02-07,0.00044990986,21.900604,154.93
2010-02-08,5.609849e-06,22.824463,153.8
2010-02-09,0.0016807107,23.246704,194.74
2010-02-10,0.025573056,22.779907,259.68
2010-02-11,0.0025120904,23.6044,360.59
2010-02-12,0.006627476,23.518158,400.07
2010-02-13,0.00048244704,24.134644,202.92
2010-02-14,0.106561325,24.774231,198.51
2010-02-15,1.3839363,24.93634,219.82
2010-02-16,1.2646866,24.727295,259.68
2010-02-17,0.400817,24.543488,261.32
2010-02-18,0.07107454,23.971832,222.42
2010-02-19,0.30105704,23.776367,319.2
2010-02-20,0.048501633,24.34311,219.8
2010-02-21,0.008791755,24.306519,264.27
2010-02-22,0.015032151,24.634827,219.82
2010-02-23,0.27179495,25.676361,193.36
2010-02-24,0.5078237,26.04129,221.46
2010-02-25,0.01707638,26.013,218.81
2010-02-26,0.038199704,25.656921,211.79
2010-02-27,0.0059486837,25.623596,200.52
2010-02-28,0.00010434319,26.367828,181.0
2010-03-01,2.2439394e-06,27.069397,176.88
2010-03-02,0.0,27.527771,172.65
2010-03-03,0.0,28.174744,121.33
2010-03-04,0.00011219697,28.602692,163.33
2010-03-05,0.004413829,28.720459,151.02
2010-03-06,0.0029709758,28.809753,160.83
2010-03-07,0.010980719,28.878723,173.99
2010-03-08,0.03509297,28.612915,169.24
2010-03-09,0.12686336,27.994812,180.24
2010-03-10,0.12342229,28.09375,181.63
2010-03-11,0.55240065,27.734283,272.53
2010-03-12,0.43963262,27.468506,189.03
2010-03-13,0.091007456,28.447388,181.63
2010-03-14,0.04291983,28.69281,181.39
2010-03-15,0.013713837,28.736359,185.34
2010-03-16,0.44822803,28.677277,306.42
2010-03-17,0.5616637,28.246216,302.42
2010-03-18,0.27655432,28.260132,264.27
2010-03-19,0.00013912425,29.048035,193.36
2010-03-20,0.0,29.384369,211.79
2010-03-21,6.731819e-05,29.735748,217.8
2010-03-22,0.0,30.33078,216.79
2010-03-23,0.0,30.760284,319.2
2010-03-24,3.4781064e-05,30.720795,302.14
2010-03-25,0.003414154,30.815918,217.02
2010-03-26,0.40394387,30.131744,217.34
2010-03-27,0.49820727,30.360962,200.53
2010-03-28,0.41533414,30.614868,220.63
2010-03-29,0.27941534,30.572784,265.09
2010-03-30,0.5882319,31.037659,259.68
2010-03-31,0.27502397,30.933289,400.07
2010-04-01,0.0022080366,31.049194,260.5
2010-04-02,0.004112019,31.183868,263.66
2010-04-03,0.0056558503,31.472198,237.94
2010-04-04,0.06825391,31.712097,220.05
2010-04-05,2.1317424e-05,31.6333,218.15
2010-04-06,4.487879e-05,31.79364,256.76
2010-04-07,0.0029676103,31.957214,219.04
2010-04-08,0.00020083258,31.845947,242.94
2010-04-09,1.1219697e-06,32.294464,193.36
2010-04-10,0.018432843,32.859955,188.47
2010-04-11,0.043991312,33.031006,193.36
2010-04-12,0.1553053,32.89749,211.79
2010-04-13,0.05990982,33.088043,209.77
2010-04-14,0.0817456,33.053375,204.54
2010-04-15,0.15347761,32.570343,288.47
2010-04-16,0.1727968,32.33841,241.88
2010-04-17,0.17150767,32.921204,188.47
2010-04-18,0.113467045,33.707184,189.03
2010-04-19,0.33115947,33.7865,169.24
2010-04-20,0.15195397,33.82312,176.88
2010-04-21,0.0682483,33.686035,180.24
2010-04-22,0.12576383,33.682434,176.88
2010-04-23,0.541604,32.88852,181.39
2010-04-24,0.32709682,32.398254,192.55
2010-04-25,0.2583627,32.130493,188.49
2010-04-26,0.63674814,31.97876,181.39
2010-04-27,0.3385712,32.348267,166.42
2010-04-28,1.05954,31.95935,181.63
2010-04-29,1.3362683,30.92102,218.15
2010-04-30,1.7534828,30.790619,214.74
2010-05-01,1.491457,30.78003,241.88
2010-05-02,0.12308008,30.960876,199.74
2010-05-03,1.0792823,30.233826,192.55
2010-05-04,1.9805571,29.960815,204.17
2010-05-05,1.6986858,29.959595,275.16
2010-05-06,1.5269425,29.216248,272.52
2010-05-07,1.3927358,29.987518,324.63
2010-05-08,0.25001973,31.146973,302.96
2010-05-09,0.0785693,32.99057,275.98
2010-05-10,0.07389068,33.62796,253.72
2010-05-11,0.058132622,33.77948,360.59
2010-05-12,0.08412866,33.97406,263.66
2010-05-13,0.41279063,33.70926,252.71
2010-05-14,1.6331147,32.961426,218.93
2010-05-15,0.23258547,32.918976,194.13
2010-05-16,0.4858926,33.398193,208.99
2010-05-17,0.1966712,33.31726,302.96
2010-05-18,0.23034152,32.507385,272.52
2010-05-19,1.7084805,31.42807,264.44
2010-05-20,6.466574,29.850464,263.44
2010-05-21,11.04594,27.218933,210.0
2010-05-22,11.4652405,27.732544,319.2
2010-05-23,11.229249,29.123169,318.37
2010-05-24,0.23173387,31.110138,306.42
2010-05-25,0.09586445,33.274048,372.51
2010-05-26,0.4865523,33.707336,370.84
2010-05-27,0.23906595,32.86145,303.42
2010-05-28,0.20651874,32.509277,419.01
2010-05-29,0.21875495,32.779358,400.07
2010-05-30,0.8079136,33.1127,307.25
2010-05-31,0.1321759,33.375183,359.76
2010-06-01,0.10312024,33.856262,370.99
2010-06-02,0.11594547,34.08835,318.37
2010-06-03,0.11779224,34.220093,400.07
2010-06-04,0.87873566,33.068634,319.2
2010-06-05,0.1293519,33.83029,339.71
2010-06-06,0.030398648,33.989807,1036.54
2010-06-07,0.23032357,33.931793,1043.94
2010-06-08,0.36416224,33.219666,1035.65
2010-06-09,1.4391787,31.739807,1115.76
2010-06-10,3.2923071,31.07257,796.65
2010-06-11,3.686179,31.049744,519.35
2010-06-12,5.7883296,30.220062,498.97
2010-06-13,6.5346518,29.775879,499.82
2010-06-14,4.9236517,29.12445,439.51
2010-06-15,2.1022222,30.182617,328.66
2010-06-16,4.5196857,29.84436,219.75
2010-06-17,4.374718,28.865784,220.56
2010-06-18,9.486862,28.537598,219.78
2010-06-19,18.496967,27.551544,200.55
2010-06-20,7.2657523,27.17926,211.79
2010-06-21,3.0334597,28.644592,192.17
2010-06-22,4.15391,30.50235,200.55
2010-06-23,8.070102,29.527344,379.47
2010-06-24,26.28783,27.753326,371.64
2010-06-25,24.413963,27.502075,458.5
2010-06-26,19.067877,27.450684,540.85
2010-06-27,8.719511,28.371796,599.2
2010-06-28,5.6028366,29.593567,519.35
2010-06-29,12.68951,29.368195,439.51
2010-06-30,13.05373,27.743195,958.25
2010-07-01,13.870377,27.699768,1235.47
2010-07-02,13.882996,26.937958,754.27
2010-07-03,6.157076,27.27179,578.99
2010-07-04,10.516018,27.438324,1044.84
2010-07-05,12.304404,27.013855,1262.05
2010-07-06,16.272978,26.41684,1228.72
2010-07-07,6.7991114,26.500854,1243.35
2010-07-08,2.1135767,27.198029,1434.47
2010-07-09,2.4500039,27.736267,1056.91
2010-07-10,6.574927,28.186646,1035.65
2010-07-11,15.772376,26.658325,1237.28
2010-07-12,23.34531,25.89978,1035.65
2010-07-13,15.750973,26.493958,907.6
2010-07-14,15.804201,26.660522,914.7
2010-07-15,8.898526,27.633087,4705.97
2010-07-16,4.3056736,28.146149,3643.74
2010-07-17,2.03446,28.405792,3082.0
2010-07-18,2.1689763,28.605743,2526.8
2010-07-19,4.785125,28.813812,2355.98
2010-07-20,7.6759553,28.312866,2314.92
2010-07-21,4.878771,27.847748,2393.18
2010-07-22,8.083926,27.746155,1749.55
2010-07-23,17.376814,27.640533,2192.87
2010-07-24,42.679104,26.089783,1980.11
2010-07-25,50.555965,25.309875,2317.69
2010-07-26,7.4639926,25.424255,3421.09
2010-07-27,9.776811,26.681885,11350.45
2010-07-28,7.6264563,26.975525,10721.35
2010-07-29,7.429978,27.515106,8246.67
2010-07-30,7.3813133,27.266937,4440.22
2010-07-31,7.996742,26.76654,5631.98
2010-08-01,12.310034,26.657135,13419.37
2010-08-02,21.488092,26.045288,12874.24
2010-08-03,17.600904,26.279755,12868.85
2010-08-04,20.248621,26.539246,10771.1
2010-08-05,30.810131,25.825867,10486.79
2010-08-06,10.682714,26.014374,13416.32
2010-08-07,1.7441143,26.157776,16180.89
2010-08-08,0.8900429,27.182251,22623.25
2010-08-09,1.6515182,27.935364,11938.22
2010-08-10,4.7901154,28.558105,8989.99
2010-08-11,8.807928,28.255432,15076.76
2010-08-12,6.804632,28.118378,11721.97
2010-08-13,6.6705637,28.077728,7174.84
2010-08-14,9.919413,27.915222,5123.27
2010-08-15,8.84756,27.13617,3247.87
2010-08-16,2.8268197,28.128082,3244.63
2010-08-17,3.8188396,28.146881,2939.6
2010-08-18,5.353435,28.187561,2939.61
2010-08-19,11.993666,27.421967,3661.82
2010-08-20,10.062103,26.480988,3427.21
2010-08-21,2.7271261,28.12201,2994.31
2010-08-22,3.1199467,27.925201,2994.71
2010-08-23,8.764444,28.216095,3427.21
2010-08-24,9.53015,27.733276,4181.32
2010-08-25,6.144809,27.391724,3863.52
2010-08-26,6.4520054,27.369537,3146.35
2010-08-27,9.799866,26.965271,2939.14
2010-08-28,10.512207,27.326813,3079.65
2010-08-29,15.307679,26.909119,3244.63
2010-08-30,11.511192,26.63855,3407.45
2010-08-31,3.989825,26.456665,3329.98
2010-09-01,7.349064,27.196167,3243.94
2010-09-02,12.071089,27.471436,2994.71
2010-09-03,6.769134,27.559998,3191.29
2010-09-04,5.684515,27.687744,3699.13
2010-09-05,11.73563,27.393097,3572.18
2010-09-06,14.5617895,27.043701,4121.44
2010-09-07,18.727682,26.3844,6288.81
2010-09-08,6.4345193,26.825134,6411.36
2010-09-09,4.070195,27.583557,5646.93
2010-09-10,4.151478,27.762451,9209.58
2010-09-11,6.2440343,27.629517,9310.58
2010-09-12,9.954598,26.920929,5466.28
2010-09-13,15.81271,26.508606,4491.55
2010-09-14,12.700995,26.332275,3695.68
2010-09-15,12.21253,26.41156,3427.21
2010-09-16,13.499182,26.303345,3500.0
2010-09-17,20.634382,25.838867,4219.45
2010-09-18,22.38245,25.050507,5571.6
2010-09-19,7.9059124,25.676788,12248.09
2010-09-20,3.842153,26.562805,18713.06
2010-09-21,3.1702378,27.319794,19302.73
2010-09-22,2.1366477,27.153687,16386.72
2010-09-23,1.5375834,27.293701,17540.96
2010-09-24,1.5079509,27.634644,14802.78
2010-09-25,0.456111,27.860504,10077.0
2010-09-26,1.569777,27.7388,6089.95
2010-09-27,2.1061134,27.877502,4872.69
2010-09-28,2.1164434,27.543945,3571.7
2010-09-29,1.5184357,26.912872,2317.38
2010-09-30,0.7445829,26.936249,1688.08
2010-10-01,1.7201178,26.802673,1718.36
2010-10-02,3.4841828,26.65158,1687.56
2010-10-03,1.4087238,27.318726,1588.13
2010-10-04,2.5100126,27.542053,1444.28
2010-10-05,9.240324,26.402405,1315.28
2010-10-06,11.467144,26.009552,1444.28
2010-10-07,18.915987,25.223602,1589.06
2010-10-08,3.9347606,25.958282,1687.27
2010-10-09,1.4906839,26.692932,1749.55
2010-10-10,0.8995146,27.2016,1687.56
2010-10-11,0.10240555,27.070068,1571.93
2010-10-12,0.11983086,26.581787,1261.26
2010-10-13,1.6174024,26.032654,1332.34
2010-10-14,12.105549,25.773682,1235.47
2010-10-15,17.176603,24.671875,1044.84
2010-10-16,3.0881712,25.751251,1044.84
2010-10-17,3.2881007,25.468567,1235.47
2010-10-18,1.1949449,26.307281,1043.94
2010-10-19,0.66676867,27.078918,907.6
2010-10-20,1.4886453,27.491638,2526.8
2010-10-21,5.743775,26.690216,1489.15
2010-10-22,12.169894,25.844025,1237.28
2010-10-23,4.743959,25.732239,1262.05
2010-10-24,3.1496542,25.833527,1315.24
2010-10-25,0.60705745,25.648132,1235.47
2010-10-26,0.7133069,24.726074,1055.41
2010-10-27,0.19782346,24.33496,1262.05
2010-10-28,0.10531033,23.885498,1056.91
2010-10-29,1.0447232,23.782837,893.07
2010-10-30,5.2198734,23.941467,787.65
2010-10-31,11.556763,22.613953,674.35
2010-11-01,9.636107,21.213684,602.65
2010-11-02,4.841097,22.009888,358.93
2010-11-03,1.0119416,23.928223,328.46
2010-11-04,0.3785728,24.174225,318.37
2010-11-05,0.022039978,23.301727,370.81
2010-11-06,0.16076706,23.169373,370.01
2010-11-07,5.7203145,24.26352,328.46
2010-11-08,9.209142,24.381104,370.01
2010-11-09,3.5274844,24.81488,379.01
2010-11-10,1.4726684,25.69458,379.47
2010-11-11,2.7858937,25.445618,400.07
2010-11-12,3.2840202,24.130554,403.98
2010-11-13,1.4767535,24.424286,559.02
2010-11-14,0.19819595,24.662994,559.02
2010-11-15,0.05212223,24.442383,611.9
2010-11-16,0.013052997,24.526642,449.38
2010-11-17,0.14315213,24.717834,787.65
2010-11-18,0.2009089,24.977814,612.73
2010-11-19,0.60086757,25.275208,578.99
2010-11-20,0.4905925,24.642944,458.6
2010-11-21,0.47125202,23.159668,404.79
2010-11-22,0.25807548,22.659912,498.97
2010-11-23,0.2309676,23.045685,328.46
2010-11-24,0.034515157,23.454346,400.07
2010-11-25,0.0017850538,23.932495,437.44
2010-11-26,0.0061046374,24.621765,370.01
2010-11-27,0.12560283,24.979523,458.6
2010-11-28,0.2373314,24.596893,379.47
2010-11-29,0.20391689,24.240906,436.6
